data_id,type,record_id,opentimestamps,numbers,avalanche,iscn,ipfs,filecoin,storj
,Web Archive,bafybeicdw6ja6ndbbizydse4aqlkwvntctjer2eyysa5nrizupnhhecliq,https://www.blockchain.com/explorer/blocks/btc/767727,https://mainnet.num.network/tx/0xe7b054abd2cf0aa7fa089149ed011444667c6eeab4b66f4294c01fe079bca368,https://snowtrace.io/tx/0x161755a1bc9ef2baf77fea772a685a4b4eb08694009a9a85afe221c9e83ede98,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FcZE61O1dl927u1jdG-yrs-iPhuZ5Rzfhjew5L3qSW6c%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Caption,bafkreiaybezwj546mdfiwzzh3wlge3v5mpcbxkzpflnkd63hzm3daysbje,https://www.blockchain.com/explorer/blocks/btc/767727,https://mainnet.num.network/tx/0xe7b054abd2cf0aa7fa089149ed011444667c6eeab4b66f4294c01fe079bca368,https://snowtrace.io/tx/0x161755a1bc9ef2baf77fea772a685a4b4eb08694009a9a85afe221c9e83ede98,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FcZE61O1dl927u1jdG-yrs-iPhuZ5Rzfhjew5L3qSW6c%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
C049-0167,Primary,bafkreiedoa7jailwxekshmazvy7ewnakup3pbo33i4w5bkgylwcbv4zfyu,https://www.blockchain.com/explorer/blocks/btc/767815,https://mainnet.num.network/tx/0xd74da4c47339fc74d96d3734d66f0df990b105ca5b48f3758f254a11316f553d,https://snowtrace.io/tx/0x2f463e3d7be60297212a4208697fad1f73e10644feaf7283875876a6962d8948,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FPZEk-1-Bdz75K8o2xvnUBT08g32HadIulbQof_tvmmM%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Web Archive,bafybeihqitr4uyft4cxyw74vzk5tnptosohkl7h64i2ekeszhjcuflofcq,https://www.blockchain.com/explorer/blocks/btc/767815,https://mainnet.num.network/tx/0xd74da4c47339fc74d96d3734d66f0df990b105ca5b48f3758f254a11316f553d,https://snowtrace.io/tx/0x2f463e3d7be60297212a4208697fad1f73e10644feaf7283875876a6962d8948,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FPZEk-1-Bdz75K8o2xvnUBT08g32HadIulbQof_tvmmM%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Redaction: Zero Knowledge Proof,bafybeidgmuxkxzxyanrkr7zbctqy37o5s2bdwfzgvatir6w6wshibg5p6y,https://www.blockchain.com/explorer/blocks/btc/767815,https://mainnet.num.network/tx/0xd74da4c47339fc74d96d3734d66f0df990b105ca5b48f3758f254a11316f553d,https://snowtrace.io/tx/0x2f463e3d7be60297212a4208697fad1f73e10644feaf7283875876a6962d8948,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FPZEk-1-Bdz75K8o2xvnUBT08g32HadIulbQof_tvmmM%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Caption,bafkreigjrede4wbk2p2vyj6erzb4h3y3jmeodyvwg3ueygwv537cdkhi6e,https://www.blockchain.com/explorer/blocks/btc/767815,https://mainnet.num.network/tx/0xd74da4c47339fc74d96d3734d66f0df990b105ca5b48f3758f254a11316f553d,https://snowtrace.io/tx/0x2f463e3d7be60297212a4208697fad1f73e10644feaf7283875876a6962d8948,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FPZEk-1-Bdz75K8o2xvnUBT08g32HadIulbQof_tvmmM%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
C049-1701,Primary,bafkreifccbwu6pvovedbe3uww5ytqtmajbdl2orsxfigkr7qoc6gm4lex4,https://www.blockchain.com/explorer/blocks/btc/767817,https://mainnet.num.network/tx/0xc1c861a1d8a886c1fd9d7eac00bddd38b7dc9bd0d833c2ce1fc482883058e6a1,https://snowtrace.io/tx/0x2507afc3eacfa469d176f2a5bde4043bb615599c582ae036671fbe4a024e5094,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FGNebLkfhFGqust3QOS3EcBFCWn7nv_L5Kdl9JXXI1iM%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Web Archive,bafybeihqitr4uyft4cxyw74vzk5tnptosohkl7h64i2ekeszhjcuflofcq,https://www.blockchain.com/explorer/blocks/btc/767817,https://mainnet.num.network/tx/0xc1c861a1d8a886c1fd9d7eac00bddd38b7dc9bd0d833c2ce1fc482883058e6a1,https://snowtrace.io/tx/0x2507afc3eacfa469d176f2a5bde4043bb615599c582ae036671fbe4a024e5094,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FGNebLkfhFGqust3QOS3EcBFCWn7nv_L5Kdl9JXXI1iM%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Caption,bafkreifm5zlaq45wgntcfqtrrk62ludzjgaf62766mtji34sgw7ywqavte,https://www.blockchain.com/explorer/blocks/btc/767817,https://mainnet.num.network/tx/0xc1c861a1d8a886c1fd9d7eac00bddd38b7dc9bd0d833c2ce1fc482883058e6a1,https://snowtrace.io/tx/0x2507afc3eacfa469d176f2a5bde4043bb615599c582ae036671fbe4a024e5094,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FGNebLkfhFGqust3QOS3EcBFCWn7nv_L5Kdl9JXXI1iM%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
C049-1185,Primary,bafybeieahu5xwohcn3zmqy6kmq3ywwfdyhe6mm2oym2c74b2qdcneigqlm,https://www.blockchain.com/explorer/blocks/btc/767815,https://mainnet.num.network/tx/0x13b0778ab9585b110589af37c9590fdb944990b9917d0d75fc4a297128ef6b47,https://snowtrace.io/tx/0x14d6b0b76e8076d70b7776efcb8f20afe2cd1769b62c75ac325af6b829c61c5f,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FjYTD7mwPngoTb_jvKks_6pkESU9XVbVAicLkfqPrCCk%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
