data_id,registration_filename,relatedAssetCid
C049-0502,MRA22591R0000401246_Page_0502.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-1663,MRA22591R0000401246_Page_1663.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-0323,MRA22591R0000401246_Page_0323.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-0453,MRA22591R0000401246_Page_0453.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-0471,MRA22591R0000401246_Page_0471.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-1639,MRA22591R0000401246_Page_1639.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-1581,MRA22591R0000401246_Page_1581.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-1601,MRA22591R0000401246_Page_1601.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-0337,MRA22591R0000401246_Page_0337.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-1071,MRA22591R0000401246_Page_1071.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-1185,MRA22591R0000401246_Page_1185.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-1382,MRA22591R0000401246_Page_1382.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-1386,MRA22591R0000401246_Page_1386.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-0652,MRA22591R0000401246_Page_0652.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
P235,decf86ab7717c028e1c6c90de1f3fddb24f09d6dfb57bf766b2fb62fab5ede05.jpg,
P236,ccb415c2fb2b34b2574c7d6777b1c671893ba54165bd29e11c54a6a7b4169f79.jpg,
P237,IMG_20221127_003151.jpg,bafybeifwnmhcbzdrtra2u4lgg5n7rhnlpgz3hsqez5jipbxi5yrmpdpoaa
P238,eadd79c27050fcc33126d59bddc8a14c0f93b887bbfa28be554f55106efbce2a.jpg,
P239,Jorgen Samso - Clip0006.MXF,
P240,Clip0001M01.XML,
P241,video_20221127_002255.mp4,bafybeih42w2fwe4b6ydsv3sr4xetadwsic5yags2j5cny4vpxf5ekotnzy
C001-crop,C001-crop.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C006 BIO CROP,C006 BIO CROP.jpg,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C068-crop,C068-crop.jpg,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
P245,f3d5813794d8aa9c01cd88e4ff2cbd04024445918cba9e8b84574341ca1ebe1a.jpg,
C001,C001.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C006,C006.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C016,C016.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C018,C018.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C019,C019.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C020,C020.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C031,C031.png,bafybeigyytrzlq5yibk2htzimxslvrtcaxgeesz46qugjldzv7gpfoq7sy
C036,C036.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C037,C037.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C038,C038.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C042,C042.png,bafybeig2lvdloj4dnu4m4tlclnslxcbc56ylryaupipdy2swxrjadu44ma
C043,C043.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C045,C045.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C046,C046.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C047,C047.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C052,C052.png,bafybeigyytrzlq5yibk2htzimxslvrtcaxgeesz46qugjldzv7gpfoq7sy
C053,C053.png,bafybeigyytrzlq5yibk2htzimxslvrtcaxgeesz46qugjldzv7gpfoq7sy
C054,C054.png,bafybeigyytrzlq5yibk2htzimxslvrtcaxgeesz46qugjldzv7gpfoq7sy
C055,C055.png,bafybeigyytrzlq5yibk2htzimxslvrtcaxgeesz46qugjldzv7gpfoq7sy
